Impressions,reach,followers,non followers,date,time,type,multiple,insta_views,fb_views,likes,saves,share,comment,profile_visits
463,356,231,125,18-03-2022,19:59,image,No,463,0,133,2,6,6,4
217,184,148,36,03-02-2022,18:53,image,No,217,0,60,0,0,0,2
296,264,176,88,03-02-2022,18:50,image,No,296,0,68,0,0,4,10
192,177,132,45,03-02-2022,18:49,image,No,192,0,44,0,0,0,7
404,373,95,278,13-04-2021,15:32,image,No,404,0,50,1,4,8,5
363,350,48,302,22-02-2021,17:09,video,No,195,0,50,4,0,0,1
99,90,36,54,22-02-2021,17:45,image,No,99,0,44,2,0,0,1
0,0,0,0,17-01-2021,20:18,image,No,0,0,72,1,0,55,0
0,0,0,0,17-01-2021,18:45,image,No,0,0,43,0,0,6,0
0,0,0,0,16-01-2021,16:10,image,No,0,0,50,1,0,3,0
0,0,0,0,13-01-2021,17:35,image,No,0,0,60,1,0,11,0
0,0,0,0,07-01-2021,17:10,video,No,260,0,50,6,0,26,0
0,0,0,0,13-01-2021,17:19,image,Yes,,,59,3,0,8,
0,0,0,0,16-01-2021,16:39,image,Yes,,,55,1,0,4,
0,0,0,0,17-01-2021,20:35,image,Yes,,,50,3,,4,0
0,0,0,0,05-02-2021,20:33,video,Yes,,,58,2,,3,
74,70,32,38,22-02-2021,17:39,image,Yes,74,0,50,0,0,2,0
505,480,89,391,22-04-2021,15:04,image,Yes,505,0,57,1,0,5,7
703,664,99,565,24-04-2021,23:46,image,Yes,703,0,56,3,9,2,11
427,402,87,315,13-05-2021,22:38,image,Yes,427,0,57,2,0,1,6
339,326,105,221,15-05-2021,20:09,image,Yes,339,0,55,2,2,2,4
341,314,104,210,20-05-2021,20:59,image,Yes,341,0,61,7,6,7,1
495,434,118,316,20-05-2021,20:10,image,Yes,495,0,64,4,1,4,11
463,438,116,322,22-05-2021,20:16,image,Yes,463,0,49,2,0,2,5
475,434,126,308,15-06-2021,20:13,image,Yes,475,0,60,1,4,0,7
571,530,119,411,15-06-2021,23:13,image,Yes,571,0,88,3,12,11,13
519,463,134,329,01-06-2021,19:59,image,Yes,519,0,80,8,11,4,6
514,457,143,314,03-07-2021,22:34,image,Yes,514,0,71,4,14,2,4
828,770,153,617,10-07-2021,22:07,image,Yes,828,0,80,4,6,2,11
688,601,226,375,04-09-2021,19:49,image,Yes,688,0,115,10,20,8,16
535,439,237,202,18-03-2022,19:37,image,Yes,535,0,128,1,2,13,6
573,561,234,327,06-01-2023,17:33,reels,No,573,0,70,0,2,6,0
364,346,235,111,31-12-2022,20:37,reels,No,364,1,84,3,0,6,0
1910,1758,310,1448,30-12-2022,20:32,reels,No,1910,0,120,7,63,14,0
601,564,272,292,25-12-2022,19:13,reels,No,601,0,77,3,4,6,0
684,624,235,389,24-12-2022,17:17,reels,No,684,0,97,4,7,12,0
663,571,234,337,23-12-2022,18:35,reels,No,663,0,73,1,4,6,0
732,642,230,412,10-12-2022,18:45,reels,No,719,12,96,0,10,15,0
22061,21454,226,21228,09-12-2022,17:20,reels,No,20941,1120,1626,106,495,10,0
5751,4771,257,4514,02-12-2022,18:40,reels,No,4561,1190,695,37,155,14,0
737,693,259,434,19-11-2022,17:39,reels,No,737,0,94,3,1,13,0
561,509,298,211,12-11-2022,17:19,reels,No,561,0,87,4,16,16,0
695,646,242,404,11-11-2022,21:07,reels,No,688,7,83,7,9,22,0
395,348,221,127,05-11-2022,18:12,reels,No,395,0,60,1,12,10,0
618,517,280,237,03-11-2022,18:37,reels,No,618,0,65,3,3,6,0
891,837,260,577,29-10-2022,18:34,reels,No,890,1,91,1,14,13,0
6343,6119,262,5857,28-10-2022,18:17,reels,No,9214,129,273,35,110,9,0
1632,1575,280,1295,21-10-2021,18:50,reels,No,1632,0,155,8,5,13,0
811,711,280,431,18-10-2022,18:37,reels,No,810,1,92,3,7,9,0
761,676,320,356,16-10-2022,18:36,reels,No,758,3,103,2,5,15,0
1614,1569,324,1245,14-10-2022,18:07,reels,No,1612,2,147,15,15,17,0
1706,1565,413,1152,08-10-2022,17:24,reels,No,1703,3,180,10,68,18,0
475,337,278,59,07-10-2022,18:45,reels,No,475,0,88,1,0,21,0
1226,1003,296,707,19-03-2022,19:40,reels,No,1102,124,219,8,31,71,0
9991,9821,441,9380,13-03-2022,15:30,reels,No,9982,9,691,97,110,5,0
2188,2341,259,2082,04-03-2022,19:42,reels,No,2188,0,113,4,13,11,0
3308,3493,292,3201,11-02-2022,19:18,reels,No,3308,0,198,9,60,8,0
904,921,0,0,18-09-2021,18:10,reels,No,905,0,118,4,6,15,0
2711,2819,0,0,17-09-2021,19:04,reels,No,2712,0,124,14,37,17,0
745,744,0,0,04-09-2021,18:36,reels,No,744,1,100,5,16,12,0
485,603,0,0,03-09-2021,18:13,reels,No,483,3,84,1,0,2,0
1203,1216,0,0,24-07-2021,21:41,reels,No,1203,0,99,5,19,2,0
1407,1450,0,0,23-07-2021,18:20,reels,No,1390,17,86,3,3,7,0
2656,2843,0,0,03-07-2021,21:24,reels,No,2654,3,140,14,17,5,0
562,775,0,0,01-07-2021,18:24,reels,No,561,1,69,1,7,7,0
1658,1686,0,0,14-06-2021,18:52,reels,No,1642,17,91,5,1,0,0
2138,2382,0,0,04-06-2021,19:35,reels,No,2136,3,106,11,17,2,0
2629,2591,0,0,13-05-2021,0,reels,No,2591,38,83,5,0,2,0
509,470,0,0,22-04-2021,0,reels,No,470,39,45,2,0,1,0
773,757,0,0,12-04-2021,0,reels,No,757,16,55,13,0,5,0
2708,0,0,0,06-02-2022,0,reels,No,2708,0,91,3,0,5,0
316,0,0,0,16-01-2022,0,reels,No,316,0,40,2,0,0,0
1939,0,0,0,16-01-2022,0,reels,No,1939,0,51,1,0,1,0
736,0,0,0,16-01-2022,0,reels,No,736,0,60,12,0,8,0
